"time","metric","scenario","group","load_zone","tags","count"
"2024-04-25T23:54:48+00:00","data_sent","default","","","{}",7776
"2024-04-25T23:54:51+00:00","data_sent","default","","","{}",9234
"2024-04-25T23:54:54+00:00","data_sent","default","","","{}",9720
"2024-04-25T23:54:57+00:00","data_sent","default","","","{}",8748
"2024-04-25T23:55:00+00:00","data_sent","default","","","{}",7776
"2024-04-25T23:55:03+00:00","data_sent","default","","","{}",11664
"2024-04-25T23:55:06+00:00","data_sent","default","","","{}",10206
"2024-04-25T23:55:09+00:00","data_sent","default","","","{}",9234
"2024-04-25T23:55:12+00:00","data_sent","default","","","{}",9720
"2024-04-25T23:55:15+00:00","data_sent","default","","","{}",12150
"2024-04-25T23:55:18+00:00","data_sent","default","","","{}",10692
"2024-04-25T23:55:21+00:00","data_sent","default","","","{}",10206
"2024-04-25T23:55:24+00:00","data_sent","default","","","{}",10206
"2024-04-25T23:55:27+00:00","data_sent","default","","","{}",12636
"2024-04-25T23:55:30+00:00","data_sent","default","","","{}",12150
"2024-04-25T23:55:33+00:00","data_sent","default","","","{}",10692
"2024-04-25T23:55:36+00:00","data_sent","default","","","{}",11178
"2024-04-25T23:55:39+00:00","data_sent","default","","","{}",13608
"2024-04-25T23:55:42+00:00","data_sent","default","","","{}",13122
"2024-04-25T23:55:45+00:00","data_sent","default","","","{}",11664
"2024-04-25T23:55:48+00:00","data_sent","default","","","{}",11664
"2024-04-25T23:55:51+00:00","data_sent","default","","","{}",12636
"2024-04-25T23:55:54+00:00","data_sent","default","","","{}",14580
"2024-04-25T23:55:57+00:00","data_sent","default","","","{}",12150
"2024-04-25T23:56:00+00:00","data_sent","default","","","{}",14094
"2024-04-25T23:56:03+00:00","data_sent","default","","","{}",13608
"2024-04-25T23:56:06+00:00","data_sent","default","","","{}",13608
"2024-04-25T23:56:09+00:00","data_sent","default","","","{}",14580
"2024-04-25T23:56:12+00:00","data_sent","default","","","{}",14094
"2024-04-25T23:56:15+00:00","data_sent","default","","","{}",15552
"2024-04-25T23:56:18+00:00","data_sent","default","","","{}",14094
"2024-04-25T23:56:21+00:00","data_sent","default","","","{}",13122
