"time","metric","scenario","group","load_zone","tags","count","min","mean","median","p95","p99","max","stdev"
"2024-04-25T23:51:36+00:00","group_duration","default","::View cart","","{}",1,1042.671652,1042.671652,1042.671652,1042.671652,1042.671652,1042.671652,""
"2024-04-25T23:51:39+00:00","group_duration","default","::Categories details","","{}",2,1003.060606,1003.6159425,1003.6159362793,1003.70319519043,1003.71095153809,1003.712885,0.13709739827037
"2024-04-25T23:51:39+00:00","group_duration","default","::Homepage","","{}",1,1043.641518,1043.641518,1043.641518,1043.641518,1043.641518,1043.641518,""
"2024-04-25T23:51:39+00:00","group_duration","default","::Product details","","{}",1,1002.582455,1002.582455,1002.582455,1002.582455,1002.582455,1002.582455,""
"2024-04-25T23:51:39+00:00","group_duration","default","::View cart","","{}",2,1028.450065,1035.441023,1035.44104003906,1038.36604003906,1038.62604003906,1038.691046,4.59622660462441
"2024-04-25T23:51:42+00:00","group_duration","default","::Categories details","","{}",1,1002.730574,1002.730574,1002.730574,1002.730574,1002.730574,1002.730574,""
"2024-04-25T23:51:42+00:00","group_duration","default","::Homepage","","{}",2,1021.649963,1021.962752,1021.96276855469,1021.96276855469,1021.96276855469,1021.962752,0
"2024-04-25T23:51:42+00:00","group_duration","default","::Product details","","{}",2,1002.289903,1003.595284,1003.59527587891,1003.66394042969,1003.67004394531,1003.671568,0.107881867392051
"2024-04-25T23:51:42+00:00","group_duration","default","::View cart","","{}",1,1028.454369,1028.454369,1028.454369,1028.454369,1028.454369,1028.454369,""
"2024-04-25T23:51:45+00:00","group_duration","default","::Categories details","","{}",2,1003.359885,1004.7939225,1004.79391479492,1005.94135437012,1006.04334899902,1006.068845,1.80301269047462
"2024-04-25T23:51:45+00:00","group_duration","default","::Homepage","","{}",1,1032.653801,1032.653801,1032.653801,1032.653801,1032.653801,1032.653801,""
"2024-04-25T23:51:45+00:00","group_duration","default","::Product details","","{}",1,1002.453867,1002.453867,1002.453867,1002.453867,1002.453867,1002.453867,""
"2024-04-25T23:51:45+00:00","group_duration","default","::View cart","","{}",2,1030.038957,1030.337971,1030.33801269531,1030.33801269531,1030.33801269531,1030.337971,0
"2024-04-25T23:51:48+00:00","group_duration","default","::Categories details","","{}",1,1003.125073,1003.125073,1003.125073,1003.125073,1003.125073,1003.125073,""
"2024-04-25T23:51:48+00:00","group_duration","default","::Homepage","","{}",2,1020.195773,1025.913686,1025.91369628906,1027.63690185547,1027.79007568359,1027.828372,2.70777490888584
"2024-04-25T23:51:48+00:00","group_duration","default","::Product details","","{}",2,1002.716447,1003.217813,1003.21783447266,1003.21783447266,1003.21783447266,1003.217813,0
"2024-04-25T23:51:48+00:00","group_duration","default","::View cart","","{}",1,1041.132311,1041.132311,1041.132311,1041.132311,1041.132311,1041.132311,""
"2024-04-25T23:51:51+00:00","group_duration","default","::Categories details","","{}",2,1001.982682,1002.643542,1002.6435546875,1002.6435546875,1002.6435546875,1002.643542,0
"2024-04-25T23:51:51+00:00","group_duration","default","::Homepage","","{}",1,1019.58049,1019.58049,1019.58049,1019.58049,1019.58049,1019.58049,""
"2024-04-25T23:51:51+00:00","group_duration","default","::Product details","","{}",1,1002.504157,1002.504157,1002.504157,1002.504157,1002.504157,1002.504157,""
"2024-04-25T23:51:51+00:00","group_duration","default","::View cart","","{}",2,1028.131387,1037.9901495,1037.99017333984,1043.20939331055,1043.67332397461,1043.789299,8.20123587312915
"2024-04-25T23:51:54+00:00","group_duration","default","::Categories details","","{}",1,1002.28001,1002.28001,1002.28001,1002.28001,1002.28001,1002.28001,""
"2024-04-25T23:51:54+00:00","group_duration","default","::Homepage","","{}",2,1018.395759,1018.464758,1018.46478271484,1018.46478271484,1018.46478271484,1018.464758,0
"2024-04-25T23:51:54+00:00","group_duration","default","::Product details","","{}",2,1002.304265,1003.9114205,1003.9114074707,1004.2645904541,1004.29598449707,1004.303841,0.554966393253251
"2024-04-25T23:51:54+00:00","group_duration","default","::View cart","","{}",1,1029.374209,1029.374209,1029.374209,1029.374209,1029.374209,1029.374209,""
"2024-04-25T23:51:57+00:00","group_duration","default","::Categories details","","{}",2,1002.254074,1003.389552,1003.38952636719,1003.38952636719,1003.38952636719,1003.389552,0
"2024-04-25T23:51:57+00:00","group_duration","default","::Homepage","","{}",1,1044.216771,1044.216771,1044.216771,1044.216771,1044.216771,1044.216771,""
"2024-04-25T23:51:57+00:00","group_duration","default","::Product details","","{}",1,1002.993182,1002.993182,1002.993182,1002.993182,1002.993182,1002.993182,""
"2024-04-25T23:51:57+00:00","group_duration","default","::View cart","","{}",1,1033.113002,1033.113002,1033.113002,1033.113002,1033.113002,1033.113002,""
"2024-04-25T23:52:00+00:00","group_duration","default","::Categories details","","{}",1,1004.367719,1004.367719,1004.367719,1004.367719,1004.367719,1004.367719,""
"2024-04-25T23:52:00+00:00","group_duration","default","::Homepage","","{}",2,1017.364537,1022.2662605,1022.26626586914,1024.39319152832,1024.58225158691,1024.629521,3.34215505052066
"2024-04-25T23:52:00+00:00","group_duration","default","::Product details","","{}",1,1002.813545,1002.813545,1002.813545,1002.813545,1002.813545,1002.813545,""
"2024-04-25T23:52:00+00:00","group_duration","default","::View cart","","{}",2,1036.085052,1039.800409,1039.80041503906,1042.9625,1043.24357421875,1043.313818,4.96871065796373
"2024-04-25T23:52:03+00:00","group_duration","default","::Categories details","","{}",2,1002.43663,1002.9118,1002.91180419922,1002.91180419922,1002.91180419922,1002.9118,0
"2024-04-25T23:52:03+00:00","group_duration","default","::Homepage","","{}",1,1022.418278,1022.418278,1022.418278,1022.418278,1022.418278,1022.418278,""
"2024-04-25T23:52:03+00:00","group_duration","default","::Product details","","{}",3,1002.834454,1006.68386766667,1003.51898193359,1012.06414794922,1012.82371826172,1013.013603,5.48171159789862
"2024-04-25T23:52:03+00:00","group_duration","default","::View cart","","{}",1,1037.39729,1037.39729,1037.39729,1037.39729,1037.39729,1037.39729,""
"2024-04-25T23:52:09+00:00","group_duration","default","::Categories details","","{}",3,1002.011818,1002.686868,1002.68688964844,1002.68688964844,1002.68688964844,1002.686868,1.39237371444277e-13
"2024-04-25T23:52:09+00:00","group_duration","default","::Homepage","","{}",3,1014.888306,2307.64922466667,1019.90301513672,4500.50431518555,4809.89109741211,4887.237674,2233.99006717901
"2024-04-25T23:52:09+00:00","group_duration","default","::Product details","","{}",1,1001.94648,1001.94648,1001.94648,1001.94648,1001.94648,1001.94648,""
"2024-04-25T23:52:09+00:00","group_duration","default","::View cart","","{}",2,3120.403638,3853.724507,3853.72448730469,4505.66781005859,4563.61832763672,4578.106014,1024.43015153166
"2024-04-25T23:52:12+00:00","group_duration","default","::Categories details","","{}",1,1002.374008,1002.374008,1002.374008,1002.374008,1002.374008,1002.374008,""
"2024-04-25T23:52:12+00:00","group_duration","default","::Homepage","","{}",3,1015.495455,1018.92281133333,1019.90301513672,1020.94287109375,1021.03530273438,1021.058434,2.75952298971858
"2024-04-25T23:52:12+00:00","group_duration","default","::Product details","","{}",2,1002.21352,1002.359207,1002.35919189453,1002.35919189453,1002.35919189453,1002.359207,0
"2024-04-25T23:52:12+00:00","group_duration","default","::View cart","","{}",3,1031.52017,1034.74415266667,1036.02075195312,1036.02075195312,1036.02075195312,1036.020729,2.21109506907334
"2024-04-25T23:52:15+00:00","group_duration","default","::Categories details","","{}",2,1002.513082,1002.641434,1002.64141845703,1002.64141845703,1002.64141845703,1002.641434,0
"2024-04-25T23:52:15+00:00","group_duration","default","::Homepage","","{}",1,1027.484948,1027.484948,1027.484948,1027.484948,1027.484948,1027.484948,""
"2024-04-25T23:52:15+00:00","group_duration","default","::Product details","","{}",3,1002.121777,1004.760915,1003.51898193359,1006.87217407227,1007.1702355957,1007.244745,2.15105987868188
"2024-04-25T23:52:15+00:00","group_duration","default","::View cart","","{}",3,1031.822065,1039.64261866667,1040.38305664062,1045.75679931641,1046.23446533203,1046.353856,7.11039702887573
"2024-04-25T23:52:18+00:00","group_duration","default","::Categories details","","{}",3,1002.775553,1027.01892733333,1007.61499023438,1063.69195556641,1068.67657470703,1069.922782,37.212227331132
"2024-04-25T23:52:18+00:00","group_duration","default","::Homepage","","{}",2,1053.080001,1063.473641,1063.4736328125,1069.50963134766,1070.04616455078,1070.180282,9.48462266016744
"2024-04-25T23:52:18+00:00","group_duration","default","::Product details","","{}",3,1001.645119,1005.34092233333,1003.51898193359,1008.4381652832,1008.87542602539,1008.984767,3.15566204877779
"2024-04-25T23:52:18+00:00","group_duration","default","::View cart","","{}",1,1042.517779,1042.517779,1042.517779,1042.517779,1042.517779,1042.517779,""
"2024-04-25T23:52:21+00:00","group_duration","default","::Categories details","","{}",3,1001.81087,1002.552274,1002.55224609375,1002.55224609375,1002.55224609375,1002.552274,0
"2024-04-25T23:52:21+00:00","group_duration","default","::Homepage","","{}",3,1016.772293,1025.00642133333,1023.9990234375,1030.40548095703,1030.97494384766,1031.117264,5.67460153425464
"2024-04-25T23:52:21+00:00","group_duration","default","::Product details","","{}",1,1004.704211,1004.704211,1004.704211,1004.704211,1004.704211,1004.704211,""
"2024-04-25T23:52:21+00:00","group_duration","default","::View cart","","{}",2,1030.308831,1033.0978075,1033.09783935547,1033.91395874023,1033.98650268555,1034.004615,1.28241946496166
"2024-04-25T23:52:24+00:00","group_duration","default","::Categories details","","{}",1,1001.475517,1001.475517,1001.475517,1001.475517,1001.475517,1001.475517,""
"2024-04-25T23:52:24+00:00","group_duration","default","::Homepage","","{}",3,1021.552688,1023.538099,1023.5380859375,1023.5380859375,1023.5380859375,1023.538099,0
"2024-04-25T23:52:24+00:00","group_duration","default","::Product details","","{}",2,1001.418679,1002.085947,1002.0859375,1002.0859375,1002.0859375,1002.085947,0
"2024-04-25T23:52:24+00:00","group_duration","default","::View cart","","{}",3,1028.348997,1044.13737933333,1048.57495117188,1051.33900146484,1051.58469482422,1051.646138,10.4592043930541
"2024-04-25T23:52:27+00:00","group_duration","default","::Categories details","","{}",2,1002.010223,1002.808035,1002.80804443359,1002.80804443359,1002.80804443359,1002.808035,0
"2024-04-25T23:52:27+00:00","group_duration","default","::Homepage","","{}",1,1044.371786,1044.371786,1044.371786,1044.371786,1044.371786,1044.371786,""
"2024-04-25T23:52:27+00:00","group_duration","default","::Product details","","{}",3,1001.120672,1002.925519,1002.92553710938,1002.92553710938,1002.92553710938,1002.925519,0
"2024-04-25T23:52:27+00:00","group_duration","default","::View cart","","{}",3,1032.064941,1047.62069433333,1044.47900390625,1064.02082519531,1065.75787597656,1066.192083,17.2168839734806
"2024-04-25T23:52:30+00:00","group_duration","default","::Categories details","","{}",3,1001.892532,1002.252271,1002.25225830078,1002.25225830078,1002.25225830078,1002.252271,0
"2024-04-25T23:52:30+00:00","group_duration","default","::Homepage","","{}",2,1023.027331,1029.0238625,1029.02386474609,1033.54622192383,1033.94820922852,1034.048725,7.10622869656003
"2024-04-25T23:52:30+00:00","group_duration","default","::Product details","","{}",3,1002.479044,1004.05997033333,1003.51898193359,1004.97961425781,1005.10944824219,1005.141911,0.93698810272083
"2024-04-25T23:52:30+00:00","group_duration","default","::View cart","","{}",1,1033.277237,1033.277237,1033.277237,1033.277237,1033.277237,1033.277237,""
"2024-04-25T23:52:33+00:00","group_duration","default","::Categories details","","{}",4,1001.75514,1003.8730855,1003.87307739258,1004.22717285156,1004.22717285156,1004.227171,0.408862717482282
"2024-04-25T23:52:33+00:00","group_duration","default","::Homepage","","{}",4,1017.53378,1034.42114975,1034.23901367188,1047.35109863281,1048.91309082031,1049.303599,12.1204913666224
"2024-04-25T23:52:33+00:00","group_duration","default","::Product details","","{}",2,1002.306897,1002.40931,1002.40930175781,1002.40930175781,1002.40930175781,1002.40931,0
"2024-04-25T23:52:33+00:00","group_duration","default","::View cart","","{}",2,1033.363756,1052.688695,1052.68865966797,1067.45016479492,1068.76229858398,1069.09039,23.195499514907
"2024-04-25T23:52:36+00:00","group_duration","default","::Categories details","","{}",1,1003.297258,1003.297258,1003.297258,1003.297258,1003.297258,1003.297258,""
"2024-04-25T23:52:36+00:00","group_duration","default","::Homepage","","{}",4,1016.429735,1021.11527975,1019.90301513672,1024.02471618652,1024.60660339355,1024.752119,2.42455949999999
"2024-04-25T23:52:36+00:00","group_duration","default","::Product details","","{}",2,1000.940754,1002.579326,1002.57934570312,1002.57934570312,1002.57934570312,1002.579326,0
"2024-04-25T23:52:36+00:00","group_duration","default","::View cart","","{}",4,1022.370922,1032.16904075,1030.14300537109,1042.56110229492,1044.02511108398,1044.391163,8.8077263125797
"2024-04-25T23:52:39+00:00","group_duration","default","::Categories details","","{}",3,1002.584319,1003.39023,1003.39025878906,1003.39025878906,1003.39025878906,1003.39023,0
"2024-04-25T23:52:39+00:00","group_duration","default","::Homepage","","{}",1,1052.43614,1052.43614,1052.43614,1052.43614,1052.43614,1052.43614,""
"2024-04-25T23:52:39+00:00","group_duration","default","::Product details","","{}",4,1002.96355,1005.3267815,1005.32678222656,1007.13458251953,1007.13458251953,1007.134563,2.08744627132202
"2024-04-25T23:52:39+00:00","group_duration","default","::View cart","","{}",4,1024.915549,1058.1633655,1067.37933349609,1069.79968261719,1069.79968261719,1069.799731,20.1750444542952
"2024-04-25T23:52:42+00:00","group_duration","default","::Categories details","","{}",4,1001.050847,1003.56334,1003.51898193359,1003.66974487305,1003.69102905273,1003.69636,0.0886800000000108
"2024-04-25T23:52:42+00:00","group_duration","default","::Homepage","","{}",3,1030.098354,1035.267816,1036.28698730469,1037.22159423828,1037.30467041016,1037.325448,2.71471749645668
"2024-04-25T23:52:42+00:00","group_duration","default","::Product details","","{}",4,1002.28004,1003.52151475,1003.51898193359,1003.52754211426,1003.52875061035,1003.529059,0.00502949999997782
"2024-04-25T23:52:42+00:00","group_duration","default","::View cart","","{}",1,1027.38975,1027.38975,1027.38975,1027.38975,1027.38975,1027.38975,""
"2024-04-25T23:52:45+00:00","group_duration","default","::Categories details","","{}",4,1001.427673,1003.8267455,1003.51898193359,1004.56534729004,1004.71306945801,1004.749982,0.61549100000002
"2024-04-25T23:52:45+00:00","group_duration","default","::Homepage","","{}",4,1018.305386,1041.5217045,1046.64172363281,1052.900390625,1052.900390625,1052.900409,15.5736408116758
"2024-04-25T23:52:45+00:00","group_duration","default","::Product details","","{}",1,1002.857961,1002.857961,1002.857961,1002.857961,1002.857961,1002.857961,""
"2024-04-25T23:52:45+00:00","group_duration","default","::View cart","","{}",3,1025.101896,1047.62349933333,1056.76696777344,1057.88438720703,1057.98371337891,1058.008498,16.9235647539164
"2024-04-25T23:52:48+00:00","group_duration","default","::Categories details","","{}",1,1003.462032,1003.462032,1003.462032,1003.462032,1003.462032,1003.462032,""
"2024-04-25T23:52:48+00:00","group_duration","default","::Homepage","","{}",4,1015.689317,1025.164168,1023.9990234375,1034.92378540039,1036.46610473633,1036.851672,8.69615960576253
"2024-04-25T23:52:48+00:00","group_duration","default","::Product details","","{}",3,1002.156824,1002.55019,1002.55017089844,1002.55017089844,1002.55017089844,1002.55019,0
"2024-04-25T23:52:48+00:00","group_duration","default","::View cart","","{}",4,1034.360446,1046.19808725,1048.57495117188,1050.93828735352,1051.27193481445,1051.355349,6.73613211661187
"2024-04-25T23:52:51+00:00","group_duration","default","::Categories details","","{}",3,1001.961019,1003.040132,1003.04016113281,1003.04016113281,1003.04016113281,1003.040132,0
"2024-04-25T23:52:51+00:00","group_duration","default","::Homepage","","{}",1,1064.612887,1064.612887,1064.612887,1064.612887,1064.612887,1064.612887,""
"2024-04-25T23:52:51+00:00","group_duration","default","::Product details","","{}",4,1001.190839,1003.056677,1003.05670166016,1003.05670166016,1003.05670166016,1003.056677,0
"2024-04-25T23:52:51+00:00","group_duration","default","::View cart","","{}",4,1031.252922,1045.37063325,1042.43096923828,1062.05137329102,1063.95392700195,1064.429533,14.4882107426931
