"time","metric","scenario","group","load_zone","tags","count"
"2024-04-25T23:54:48+00:00","iterations","default","","","{}",16
"2024-04-25T23:54:51+00:00","iterations","default","","","{}",19
"2024-04-25T23:54:54+00:00","iterations","default","","","{}",20
"2024-04-25T23:54:57+00:00","iterations","default","","","{}",18
"2024-04-25T23:55:00+00:00","iterations","default","","","{}",16
"2024-04-25T23:55:03+00:00","iterations","default","","","{}",24
"2024-04-25T23:55:06+00:00","iterations","default","","","{}",21
"2024-04-25T23:55:09+00:00","iterations","default","","","{}",19
"2024-04-25T23:55:12+00:00","iterations","default","","","{}",20
"2024-04-25T23:55:15+00:00","iterations","default","","","{}",25
"2024-04-25T23:55:18+00:00","iterations","default","","","{}",22
"2024-04-25T23:55:21+00:00","iterations","default","","","{}",21
"2024-04-25T23:55:24+00:00","iterations","default","","","{}",21
"2024-04-25T23:55:27+00:00","iterations","default","","","{}",26
"2024-04-25T23:55:30+00:00","iterations","default","","","{}",25
"2024-04-25T23:55:33+00:00","iterations","default","","","{}",22
"2024-04-25T23:55:36+00:00","iterations","default","","","{}",23
"2024-04-25T23:55:39+00:00","iterations","default","","","{}",28
"2024-04-25T23:55:42+00:00","iterations","default","","","{}",27
"2024-04-25T23:55:45+00:00","iterations","default","","","{}",24
"2024-04-25T23:55:48+00:00","iterations","default","","","{}",24
"2024-04-25T23:55:51+00:00","iterations","default","","","{}",26
"2024-04-25T23:55:54+00:00","iterations","default","","","{}",30
"2024-04-25T23:55:57+00:00","iterations","default","","","{}",25
"2024-04-25T23:56:00+00:00","iterations","default","","","{}",29
"2024-04-25T23:56:03+00:00","iterations","default","","","{}",28
"2024-04-25T23:56:06+00:00","iterations","default","","","{}",28
"2024-04-25T23:56:09+00:00","iterations","default","","","{}",30
"2024-04-25T23:56:12+00:00","iterations","default","","","{}",29
"2024-04-25T23:56:15+00:00","iterations","default","","","{}",32
"2024-04-25T23:56:18+00:00","iterations","default","","","{}",29
"2024-04-25T23:56:21+00:00","iterations","default","","","{}",27
"2024-04-25T23:56:24+00:00","iterations","default","","","{}",35
"2024-04-25T23:56:27+00:00","iterations","default","","","{}",33
"2024-04-25T23:56:30+00:00","iterations","default","","","{}",30
"2024-04-25T23:56:33+00:00","iterations","default","","","{}",31
"2024-04-25T23:56:36+00:00","iterations","default","","","{}",37
"2024-04-25T23:56:39+00:00","iterations","default","","","{}",34
"2024-04-25T23:56:42+00:00","iterations","default","","","{}",32
"2024-04-25T23:56:45+00:00","iterations","default","","","{}",32
"2024-04-25T23:56:48+00:00","iterations","default","","","{}",38
"2024-04-25T23:56:51+00:00","iterations","default","","","{}",37
"2024-04-25T23:56:54+00:00","iterations","default","","","{}",34
"2024-04-25T23:56:57+00:00","iterations","default","","","{}",33
"2024-04-25T23:57:00+00:00","iterations","default","","","{}",39
"2024-04-25T23:57:03+00:00","iterations","default","","","{}",37
"2024-04-25T23:57:06+00:00","iterations","default","","","{}",35
"2024-04-25T23:57:09+00:00","iterations","default","","","{}",35
"2024-04-25T23:57:12+00:00","iterations","default","","","{}",39
"2024-04-25T23:57:15+00:00","iterations","default","","","{}",39
"2024-04-25T23:57:18+00:00","iterations","default","","","{}",40
"2024-04-25T23:57:21+00:00","iterations","default","","","{}",38
"2024-04-25T23:57:24+00:00","iterations","default","","","{}",40
"2024-04-25T23:57:27+00:00","iterations","default","","","{}",39
"2024-04-25T23:57:30+00:00","iterations","default","","","{}",43
"2024-04-25T23:57:33+00:00","iterations","default","","","{}",43
"2024-04-25T23:57:36+00:00","iterations","default","","","{}",41
"2024-04-25T23:57:39+00:00","iterations","default","","","{}",41
"2024-04-25T23:57:42+00:00","iterations","default","","","{}",40
"2024-04-25T23:57:45+00:00","iterations","default","","","{}",47
"2024-04-25T23:57:48+00:00","iterations","default","","","{}",44
"2024-04-25T23:57:51+00:00","iterations","default","","","{}",42
"2024-04-25T23:57:54+00:00","iterations","default","","","{}",42
"2024-04-25T23:57:57+00:00","iterations","default","","","{}",51
"2024-04-25T23:58:00+00:00","iterations","default","","","{}",46
"2024-04-25T23:58:03+00:00","iterations","default","","","{}",44
"2024-04-25T23:58:06+00:00","iterations","default","","","{}",44
"2024-04-25T23:58:09+00:00","iterations","default","","","{}",51
"2024-04-25T23:58:12+00:00","iterations","default","","","{}",47
"2024-04-25T23:58:15+00:00","iterations","default","","","{}",46
"2024-04-25T23:58:18+00:00","iterations","default","","","{}",47
"2024-04-25T23:58:21+00:00","iterations","default","","","{}",55
"2024-04-25T23:58:24+00:00","iterations","default","","","{}",47
"2024-04-25T23:58:27+00:00","iterations","default","","","{}",49
"2024-04-25T23:58:30+00:00","iterations","default","","","{}",48
"2024-04-25T23:58:33+00:00","iterations","default","","","{}",54
"2024-04-25T23:58:36+00:00","iterations","default","","","{}",49
"2024-04-25T23:58:39+00:00","iterations","default","","","{}",51
"2024-04-25T23:58:42+00:00","iterations","default","","","{}",49
